place,longitude,latitude
nand bagh colony  Rakhi nagar indore,75.83098412,22.75081543
" Kushwah Nagar Main, Radhakrishna Nagar, Yadav Nand Nagar,",22.7488,75.8425
Ujjain Naka Ujjain Road,22.7488,75.8425
Marimata Ganesh Mandir,75.8494102,22.7340617
Gadrakheri,75.84739923,22.7345288
Archana Nagar,75.8423996,22.73700259
Banganga Mukti dham,75.85029602,22.73720049
Awantika Nagar,75.83924532,22.73917949
Scheme No. 51,75.83806515,22.73987213
"Govind Colony,Panjon Colony",75.84400892,22.74082204
Shubham Nagar,75.83306551,22.74141573
Sangam Nagar,75.83394527,22.73864516
Ganesh baug chauraha squre,75.84040403,22.74386961
Rambali Nagar,75.82991123,22.74646196
Nandan baug,75.83068371,22.7513695
jai Raj Nagar,75.83609104,22.75190377
surendra,75.83242178,22.75384299
jagannath colony,75.83242178,22.75483237
Ridhdi shiddhi nagar,75.85048914,22.76351884
Bhagat singh nagar,75.85181952,22.7546147
Mahesh Yadav Nagar,75.85282803,22.7546147
bhagirathpura,75.86207628,22.74420602
MPSE B colony,75.86014509,22.74028772
Laxmi Nagar,75.85767746,22.73868474
Narayan Nagar,75.8523345,22.73373717
police oficer Colony,75.85484505,22.73415278
Jai Hind Nagar,75.85029602,22.74066372
Vishal Nagar,75.85132599,22.74254372
satya SaiBaug chauraha,75.84845066,22.74329572
ShriNath Street,75.83034039,22.73781398
ShriNath Vihar,75.83087683,22.73603287
mahveer nagar,75.82624197,22.73755671
Durga Nagar,75.82458973,22.73725986
vila Place,75.82083464,22.73731923
Bangada,75.815835,22.73674532
babu murari,75.81089973,22.7330445
shivkanth Nagar,75.84197044,22.7728181
Bhavani Nagar,75.84321499,22.77681461
Indo German tool room,75.84776402,22.78116711
Hi teach metal Forming,75.84862232,22.78362027
Bhavarshal village,75.84724903,22.79070255
Bardari,75.84892273,22.81289658
Orient University Indore,75.85639,22.80261103
Shri Aurobindon institute of technology,75.84279656,22.79599424
Shri Aurobindon institute of Medical,75.84560752,22.79565795
Bhangya,75.8525598,22.81559641
Jakhiya,75.85395455,22.81537884
Star Academy of Thechnology and Marg,75.84870815,22.8036594
Uqinue Saws and Machinery,75.84555387,22.78647894
surendra textTiles and Rini life,75.84562898,22.78593491
Shivana Spiners,75.84751725,22.78578654
kalod hala,75.90766311,22.80288795
shankar khedi,75.90697646,22.80269015
Mother dairy food prodcessing,75.91239452,22.80382753
Santi Nagar,75.91728687,22.8231418
MMPL manglya,75.92166424,22.8234978
Khakrod,75.92247963,22.82001689
Love Kush Colony,75.92578411,22.81989822
Dharwka Dham,75.92934608,22.81795995
Mangliya Village,75.92625618,22.81637767
Nestle Depo,75.93084812,22.82591065
Pooja Farms,75.93406677,22.82452623
Lasudiya Parmar,75.93934536,22.82365602
MundlaBag,75.94054699,22.81795995
Mangalya Sadak,75.93155622,22.82403179
Ghandi Gram,75.92849314,22.8207734
Mangal Vihar Colony,75.93129873,22.82049157
Rameshwar Dham,75.92625618,22.81938399
Dairy Colony,75.92346668,22.81343062
Birju Khedi,75.92074156,22.81313393
Dhabli,75.91846704,22.81275813
Ruchi soya,75.91941118,22.81070108
Ruchi soya Industries,75.91752291,22.80791214
Bajarang Nagar,75.91956139,22.80632974
TalaWali Lake,75.91730833,22.80340225
Kailash khutti,75.91524839,22.80154287
TalaWalt Chanda,75.9124589,22.79879331
Magar Kheda,75.90906858,22.80029667
PanchVati Colony,75.90512037,22.79535133
TalaWali Chanda Kakad,75.90269566,22.79436224
PanchVati,75.90851068,22.79299729
New Sant Ravi Das Nagar,75.91445446,22.79234448
Dewas Naka,75.91632128,22.79224557
Chitrakut Farms house,75.90660095,22.79149384
Satellites Junction,75.90057135,22.79133558
S R Compound Industrial Area,75.91235161,22.78945625
S D A Compoun Industrial Area,75.90037823,22.78611296
Rahul Gandi Nagar Village,75.89600086,22.7827498
NiranjanPur Jalod,75.89767456,22.78237391
Dewas Naka Industrial Area,75.90147257,22.78249261
PanChal Compound,75.90844631,22.7827498
Lasudiya Talab,75.91067791,22.78365984
Sheche No. 144,75.89128017,22.77139357
Sector 73,75.89389801,22.7714925
TTN Nagar Pimpali Kumar,75.90677261,22.773471
S K Compound,75.91123581,22.77513292
Goyal Resort,75.911901,22.77295659
Sector 78,75.88675261,22.7652996
Sheche No. 78,75.89258909,22.76747605
Aryan Nagar,75.89507818,22.76717926
Baba Ji Nagar,75.90078592,22.76648676
shalimar township society,75.90130091,22.7644488
satya Nagar,75.90417624,22.764152
